strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
MOM_qb2of3__EV_EBITDA_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__EV_EBITDA_qb0of3,C4_ROE_DYN_qmax8,0.38049303223404274,0.19063749535668162,0.18985553687736112,-0.3844455187115875,0.5169703465523401,14.19,40.896414342629484
MOM_qb2of3__REVENUE_qb1of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__REVENUE_qb1of3,C4_ROE_DYN_qmax8,0.36946883258960694,0.16328519162187272,0.20618364096773423,-0.6024469294196597,0.5134342940889106,14.4,31.759493670886076
MOM_qb2of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__DEBTRATIO_qb2of3,C4_ROE_DYN_qmax8,0.3670629552278635,0.15297367080313573,0.21408928442472774,-0.6039378259065803,0.514760147601476,14.2,32.67755102040816
P_IC_qb0of3__VOL_qb2of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__VOL_qb2of3,C12_EPS_DYN_yoy,0.35718509950201316,0.20650776845494145,0.1506773310470717,-0.639943167852328,0.48676236044657095,12.84,60.02857142857143
MOM_qb2of3__FCF_P_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__FCF_P_qb0of3,C4_ROE_DYN_qmax8,0.34797659963491334,0.14877135846709288,0.19920524116782046,-0.44295265509681525,0.49550898203592814,13.57,26.13157894736842
MOM_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.3427991118268321,0.15667987625148894,0.18611923557534316,-0.42470500450462545,0.5269565217391304,13.8,25.92543859649123
MOM_qb2of3__ACCRUAL_qb1of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__ACCRUAL_qb1of3,C4_ROE_DYN_qmax8,0.3400790064419674,0.1410182746893447,0.19906073175262273,-0.5307894318218447,0.5228174603174603,14.01,29.476793248945146
P_IC_qb0of3__VOL_qb2of3__C7_ROE_DYN_ytdavg_gt_lyavg__v0,P_IC_qb0of3__VOL_qb2of3,C7_ROE_DYN_ytdavg_gt_lyavg,0.3186579644400389,0.20650776845494145,0.11215019598509746,-0.6284100658178278,0.4918448713301921,13.25,55.96326530612245
MOM_qb2of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,MOM_qb2of3__ACCRUAL_qb0of3,C11_EPS_DYN_qmax8,0.316589751986202,0.15667987625148894,0.15990987573471305,-0.38864638206703783,0.5161145926589078,14.99,31.365145228215766
MOM_qb2of3__DEBTRATIO_qb2of3__C3_ROE_DYN_qmax4__v0,MOM_qb2of3__DEBTRATIO_qb2of3,C3_ROE_DYN_qmax4,0.31401874902964355,0.15297367080313573,0.16104507822650782,-0.668086165146359,0.5164113785557987,14.71,55.94285714285714
