strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
MOM_qb2of3__REVENUE_qb1of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__REVENUE_qb1of3,C4_ROE_DYN_qmax8,0.36946883258960694,0.16328519162187272,0.20618364096773423,-0.6024469294196597,0.5134342940889106,14.4,31.759493670886076
MOM_qb2of3__DEBTRATIO_qb2of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__DEBTRATIO_qb2of3,C4_ROE_DYN_qmax8,0.3670629552278635,0.15297367080313573,0.21408928442472774,-0.6039378259065803,0.514760147601476,14.2,32.67755102040816
MOM_qb2of3__DEBTRATIO_qb2of3__C3_ROE_DYN_qmax4__v0,MOM_qb2of3__DEBTRATIO_qb2of3,C3_ROE_DYN_qmax4,0.31401874902964355,0.15297367080313573,0.16104507822650782,-0.668086165146359,0.5164113785557987,14.71,55.94285714285714
MOM_qb1of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,MOM_qb1of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.3122169158873247,0.16732391114546585,0.14489300474185884,-0.5935144759697315,0.5267379679144385,11.57,15.970954356846473
PS_qb0of3__MOM_qb2of3__C4_ROE_DYN_qmax8__v0,PS_qb0of3__MOM_qb2of3,C4_ROE_DYN_qmax8,0.29484570162199697,0.1725570384302506,0.12228866319174636,-0.4209697150479742,0.5180164109882269,12.4,40.5098814229249
NETDEBT_EBITDA_qb2of3__REVENUE_qb1of3__C4_ROE_DYN_qmax8__v0,NETDEBT_EBITDA_qb2of3__REVENUE_qb1of3,C4_ROE_DYN_qmax8,0.29423098681594895,0.11592729137667823,0.17830369543927072,-0.42318163170829926,0.4876385336743393,12.18,19.991596638655462
MOM_qb2of3__None__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__None,C4_ROE_DYN_qmax8,0.28964925247849616,0.11856824252898823,0.17108100994950792,-0.4104764681422107,0.5062819916240112,12.97,86.07368421052631
MOM_qb2of3__DEBTRATIO_qb1of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__DEBTRATIO_qb1of3,C4_ROE_DYN_qmax8,0.2778272760473257,0.14781380080414097,0.13001347524318474,-0.452034198536417,0.5165105963528832,15.0,31.574468085106382
MOM_qb2of3__EPS_qb2of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__EPS_qb2of3,C4_ROE_DYN_qmax8,0.27251153301146847,0.15016968644879758,0.12234184656267089,-0.3792500584363129,0.5292990142387732,13.69,50.25092250922509
P_IC_qb0of3__MOM_qb2of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__MOM_qb2of3,C12_EPS_DYN_yoy,0.2722360528792307,0.1767227601889707,0.09551329269025999,-0.660368691882854,0.504946996466431,13.53,93.24
