strategy,F組合,C,CAGR,None基準CAGR,C增益,max_drawdown,win_ratio,daily_sharpe,平均持股數
MOM_qb2of3__ACCRUAL_qb0of3__C4_ROE_DYN_qmax8__v0,MOM_qb2of3__ACCRUAL_qb0of3,C4_ROE_DYN_qmax8,0.3353525246337783,0.15505270527372694,0.18029981936005135,-0.6967989354725186,0.527761877504293,14.46,25.373390557939913
P_IC_qb0of3__REVENUE_qb0of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__REVENUE_qb0of3,C4_ROE_DYN_qmax8,0.3347269755403799,0.24055303039082032,0.09417394514955957,-0.6580919146800572,0.5119047619047619,14.31,11.072961373390559
EV_S_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,EV_S_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.33298793007061156,0.2016024825109346,0.13138544755967696,-0.5186415932770173,0.4922425952045134,11.16,11.261802575107296
P_IC_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,0.33120351429875905,0.24055303039082032,0.09065048390793873,-0.5284438099196291,0.5070888468809074,11.9,48.12
PS_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,PS_qb0of3__REVENUE_qb0of3,C3_ROE_DYN_qmax4,0.3267731566238117,0.2095689024040155,0.11720425421979619,-0.5394553445600339,0.49510763209393344,10.87,16.717557251908396
EV_S_qb0of3__REVENUE_qb0of3__C3_ROE_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C3_ROE_DYN_qmax4,0.3266995878831551,0.2016024825109346,0.12509710537222052,-0.398008587945367,0.5063103192279139,10.94,20.706106870229007
PS_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,PS_qb0of3__REVENUE_qb0of3,C10_EPS_DYN_qmax4,0.3225022279280123,0.2095689024040155,0.11293332552399682,-0.5095587752576278,0.49333333333333335,11.06,17.541984732824428
P_IC_qb0of3__REVENUE_qb0of3__C5_ROE_DYN_yoy__v0,P_IC_qb0of3__REVENUE_qb0of3,C5_ROE_DYN_yoy,0.31704346471274203,0.24055303039082032,0.07649043432192171,-0.5438798991669354,0.5166418281172379,12.23,45.672
PS_qb0of3__REVENUE_qb0of3__C12_EPS_DYN_yoy__v0,PS_qb0of3__REVENUE_qb0of3,C12_EPS_DYN_yoy,0.3138550493834824,0.2095689024040155,0.10428614697946692,-0.4278238256106731,0.4977973568281938,11.13,29.496
CROIC_qb1of3__VOL_qb2of3__C18_FCF_P_DYN_qmax8__v0,CROIC_qb1of3__VOL_qb2of3,C18_FCF_P_DYN_qmax8,0.30881253319774316,0.11109374485508328,0.19771878834265988,-0.6952125915474576,0.44642857142857145,12.79,10.645320197044335
P_IC_qb0of3__VOL_qb2of3__C18_FCF_P_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C18_FCF_P_DYN_qmax8,0.3081835987653132,0.22561198135881777,0.08257161740649543,-0.5734226885147969,0.5054945054945055,10.22,13.42489270386266
P_IC_qb0of3__VOL_qb2of3__C4_ROE_DYN_qmax8__v0,P_IC_qb0of3__VOL_qb2of3,C4_ROE_DYN_qmax8,0.30780374277385847,0.22561198135881777,0.0821917614150407,-0.6550882789893402,0.510586319218241,12.57,20.047210300429185
P_IC_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,P_IC_qb0of3__REVENUE_qb0of3,C11_EPS_DYN_qmax8,0.3034375291706217,0.24055303039082032,0.0628844987798014,-0.59481140840021,0.5020134228187919,13.22,12.30901287553648
EV_S_qb0of3__REVENUE_qb0of3__C10_EPS_DYN_qmax4__v0,EV_S_qb0of3__REVENUE_qb0of3,C10_EPS_DYN_qmax4,0.302967394196223,0.2016024825109346,0.10136491168528838,-0.37587221556621875,0.5017972681524083,11.46,21.709923664122137
