strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,晉升,未過原因
P_IC_qb0of3__REVENUE_qb0of3__None__v0,P_IC_qb0,REVENUE_qb0,0.2242906969048153,0.14417985702393699,0.0801108398808783,-0.40924131114701334,0.5428706774040739,113.93877551020408,True,
P_IC_qb0of3__VOL_qb2of3__None__v0,P_IC_qb0,VOL_qb2,0.20650776845494145,0.14417985702393699,0.06232791143100447,-0.6668419587142067,0.4959183673469388,115.57142857142857,True,
EV_S_qb0of3__REVENUE_qb0of3__None__v0,EV_S_qb0,REVENUE_qb0,0.2040896822855236,0.13327189080824864,0.07081779147727496,-0.3087125822973461,0.5251948051948052,90.05714285714286,True,
PS_qb0of3__REVENUE_qb0of3__None__v0,PS_qb0,REVENUE_qb0,0.19889012074620505,0.13063337928522634,0.06825674146097871,-0.27936078779323525,0.4691211401425178,69.60408163265306,True,
MOM_qb2of3__EV_EBITDA_qb0of3__None__v0,MOM_qb2,EV_EBITDA_qb0,0.19063749535668162,0.11856824252898823,0.07206925282769339,-0.6379556987663092,0.4818109924871491,159.48249027237355,True,
MOM_qb2of3__EV_S_qb0of3__None__v0,EV_S_qb0,MOM_qb2,0.18730029486649968,0.13327189080824864,0.054028404058251045,-0.6470620998917475,0.48628373082521553,153.83397683397683,True,
PB_qb0of3__REVENUE_qb0of3__None__v0,PB_qb0,REVENUE_qb0,0.18624937152872212,0.14168054854063916,0.04456882298808296,-0.45373607939858096,0.5798141891891891,144.25306122448978,True,
PB_qb0of3__VOL_qb2of3__None__v0,PB_qb0,VOL_qb2,0.1823150297346725,0.14168054854063916,0.040634481194033345,-0.6376099720639228,0.48707673812863156,106.24324324324324,True,
P_IC_qb0of3__MOM_qb2of3__None__v0,P_IC_qb0,MOM_qb2,0.1767227601889707,0.14417985702393699,0.03254290316503372,-0.6509717097295721,0.4801985540088486,156.85714285714286,True,
P_IC_qb0of3__DEBTRATIO_qb0of3__None__v0,P_IC_qb0,DEBTRATIO_qb0,0.17597458262379329,0.14417985702393699,0.0317947255998563,-0.38263128300769433,0.5417032484635645,57.518367346938774,True,
P_IC_qb0of3__ROE_qb2of3__None__v0,P_IC_qb0,ROE_qb2,0.17399793162660537,0.14417985702393699,0.029818074602668387,-0.34753783218838163,0.46853146853146854,89.7992277992278,True,
P_IC_qb0of3__FCF_P_qb0of3__None__v0,P_IC_qb0,FCF_P_qb0,0.17385292192184343,0.14417985702393699,0.029673064897906443,-0.5237285599301024,0.4793388429752066,185.4612244897959,True,
PS_qb0of3__MOM_qb2of3__None__v0,PS_qb0,MOM_qb2,0.1725570384302506,0.13063337928522634,0.04192365914502427,-0.6415293974283874,0.4791826029942083,157.87258687258688,True,
P_IC_qb0of3__NETDEBT_EBITDA_qb1of3__None__v0,P_IC_qb0,NETDEBT_EBITDA_qb1,0.17211959642566654,0.14417985702393699,0.027939739401729557,-0.434309267053243,0.49890988372093026,98.03673469387755,True,
P_IC_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,P_IC_qb0,NETDEBT_EBITDA_qb0,0.17045113309314686,0.14417985702393699,0.02627127606920987,-0.4286149400483181,0.583547557840617,74.2326530612245,True,
P_IC_qb0of3__REV_G_qb2of3__None__v0,P_IC_qb0,REV_G_qb2,0.16903749347536823,0.14417985702393699,0.024857636451431242,-0.45484427273583694,0.4877104702922392,144.64377682403435,True,
PB_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,PB_qb0,NETDEBT_EBITDA_qb0,0.16871541017000502,0.14168054854063916,0.02703486162936586,-0.4957900145531986,0.6081923419412288,142.73061224489797,True,
ROIC_qb2of3__EV_EBITDA_qb0of3__None__v0,ROIC_qb2,EV_EBITDA_qb0,0.16820257510716785,0.10758861515003071,0.06061395995713714,-0.36958791081176656,0.4754924415941365,145.18677042801556,True,
MOM_qb1of3__REVENUE_qb0of3__None__v0,REVENUE_qb0,MOM_qb1,0.16732391114546585,0.1284863418294273,0.038837569316038545,-0.5946103817587263,0.49053688682889146,144.0081632653061,True,
MOM_qb2of3__ROE_qb2of3__None__v0,MOM_qb2,ROE_qb2,0.16666894171226798,0.11856824252898823,0.04810069918327975,-0.6369653528696615,0.4981998199819982,165.28524590163934,True,
P_IC_qb0of3__REVENUE_qb1of3__None__v0,P_IC_qb0,REVENUE_qb1,0.16661448590704953,0.14417985702393699,0.02243462888311254,-0.5219891764494351,0.5448873483535529,164.30204081632652,True,
PB_qb0of3__MOM_qb2of3__None__v0,PB_qb0,MOM_qb2,0.16625729900929054,0.14168054854063916,0.024576750468651376,-0.6474713661812598,0.4846210759961949,154.81853281853282,True,
ROE_qb2of3__EV_EBITDA_qb0of3__None__v0,ROE_qb2,EV_EBITDA_qb0,0.16600091805718264,0.11162424264325921,0.054376675413923437,-0.34819794617144917,0.4681558935361217,140.02334630350194,True,
MOM_qb2of3__REVENUE_qb1of3__None__v0,MOM_qb2,REVENUE_qb1,0.16328519162187272,0.11856824252898823,0.044716949092884484,-0.6776785903456943,0.46743948175929084,157.42448979591836,True,
P_IC_qb0of3__ROIC_qb2of3__None__v0,P_IC_qb0,ROIC_qb2,0.1624827696120359,0.14417985702393699,0.018302912588098907,-0.30041717922390243,0.435609921848454,54.28957528957529,True,
MOM_qb2of3__ROIC_qb2of3__None__v0,MOM_qb2,ROIC_qb2,0.1622695910970633,0.11856824252898823,0.04370134856807506,-0.6590108457844113,0.49294096076274296,161.12786885245902,True,
EV_S_qb0of3__DEBTRATIO_qb0of3__None__v0,EV_S_qb0,DEBTRATIO_qb0,0.16174482675827684,0.13327189080824864,0.0284729359500282,-0.44484345229131494,0.5464270432178006,124.24489795918367,True,
PB_qb0of3__DEBTRATIO_qb2of3__None__v0,PB_qb0,DEBTRATIO_qb2,0.16157304627005153,0.14168054854063916,0.019892497729412373,-0.5369916112116553,0.578138343296328,184.1265306122449,True,
P_IC_qb0of3__NETDEBT_EBITDA_qb2of3__None__v0,P_IC_qb0,NETDEBT_EBITDA_qb2,0.16129839855406725,0.14417985702393699,0.01711854153013026,-0.5709636553541665,0.6054172767203514,287.27755102040817,True,
PB_qb0of3__FCF_P_qb0of3__None__v0,PB_qb0,FCF_P_qb0,0.16099089396895594,0.14168054854063916,0.019310345428316777,-0.518620900499591,0.47921542404992756,179.35510204081632,True,
P_IC_qb0of3__DEBTRATIO_qb2of3__None__v0,P_IC_qb0,DEBTRATIO_qb2,0.1606966196720303,0.14417985702393699,0.01651676264809332,-0.546609612409725,0.5969145569620253,307.4530612244898,True,
REVENUE_qb0of3__DEBTRATIO_qb2of3__None__v0,REVENUE_qb0,DEBTRATIO_qb2,0.16035273558717367,0.1284863418294273,0.03186639375774636,-0.5352797640330984,0.4553058024046001,112.75510204081633,True,
REVENUE_qb0of3__VOL_qb0of3__None__v0,REVENUE_qb0,VOL_qb0,0.15954331736763994,0.1284863418294273,0.031056975538212628,-0.5328064371669845,0.5532169337479071,114.75102040816327,True,
P_IC_qb0of3__EV_EBITDA_qb0of3__None__v0,P_IC_qb0,EV_EBITDA_qb0,0.15916815283762986,0.14417985702393699,0.014988295813692876,-0.34619618157024135,0.4874725963044159,224.4046692607004,True,
PB_qb0of3__REVENUE_qb1of3__None__v0,PB_qb0,REVENUE_qb1,0.15898687502249786,0.14168054854063916,0.017306326481858703,-0.5161321209419358,0.5574673090158293,172.534693877551,True,
MOM_qb2of3__NETDEBT_EBITDA_qb1of3__None__v0,MOM_qb2,NETDEBT_EBITDA_qb1,0.15869626874474596,0.11856824252898823,0.04012802621575773,-0.661073993202089,0.47780935723655443,167.02448979591836,True,
P_IC_qb0of3__FCF_P_qb2of3__None__v0,P_IC_qb0,FCF_P_qb2,0.1584587465890226,0.14417985702393699,0.014278889565085606,-0.5892544167544856,0.5100347572597825,194.00408163265305,True,
PS_qb0of3__VOL_qb2of3__None__v0,PS_qb0,VOL_qb2,0.15811478322245298,0.13063337928522634,0.027481403937226645,-0.6548067631953913,0.484408289754019,125.11969111969113,True,
PB_qb0of3__DEBTRATIO_qb0of3__None__v0,PB_qb0,DEBTRATIO_qb0,0.157902254876517,0.14168054854063916,0.016221706335877828,-0.5069887615276718,0.584571154767609,152.6122448979592,True,
PS_qb1of3__EV_S_qb0of3__None__v0,EV_S_qb0,PS_qb1,0.1578660361763582,0.13327189080824864,0.024594145368109555,-0.6031327066362827,0.5148264984227129,94.7265306122449,True,
PB_qb0of3__EPS_qb1of3__None__v0,PB_qb0,EPS_qb1,0.15757263904452423,0.14168054854063916,0.01589209050388507,-0.5122491074071611,0.504821859094562,192.8803088803089,True,
REVENUE_qb0of3__EV_EBITDA_qb1of3__None__v0,REVENUE_qb0,EV_EBITDA_qb1,0.15680676104596136,0.1284863418294273,0.028320419216534054,-0.5066719414346659,0.46122448979591835,105.9265306122449,True,
MOM_qb2of3__ACCRUAL_qb0of3__None__v0,MOM_qb2,ACCRUAL_qb0,0.15667987625148894,0.11856824252898823,0.038111633722500704,-0.6657167552589779,0.48092322185586434,150.46938775510205,True,
PB_qb0of3__NETDEBT_EBITDA_qb2of3__None__v0,PB_qb0,NETDEBT_EBITDA_qb2,0.15639251222263106,0.14168054854063916,0.014711963681991902,-0.5667639501863014,0.6023065476190477,214.74693877551022,True,
EV_S_qb0of3__FCF_P_qb0of3__None__v0,EV_S_qb0,FCF_P_qb0,0.15632943826148926,0.13327189080824864,0.023057547453240623,-0.5314939225711681,0.4645107597194151,157.99591836734695,True,
EV_S_qb0of3__VOL_qb2of3__None__v0,EV_S_qb0,VOL_qb2,0.1561519347357705,0.13327189080824864,0.022880043927521854,-0.6748042510692956,0.4818854694195559,117.84555984555985,True,
PB_qb0of3__REV_G_qb2of3__None__v0,PB_qb0,REV_G_qb2,0.15607233381676844,0.14168054854063916,0.014391785276129276,-0.4547227921831105,0.4862,128.11158798283262,True,
EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,EV_S_qb0,NETDEBT_EBITDA_qb0,0.1557900490185662,0.13327189080824864,0.02251815821031755,-0.5232166996866939,0.562638756739613,193.8204081632653,True,
PB_qb0of3__P_IC_qb1of3__None__v0,PB_qb0,P_IC_qb1,0.15548873010622732,0.14168054854063916,0.013808181565588162,-0.5605054850923613,0.5434580884627281,126.22448979591837,True,
DEBTRATIO_qb2of3__VOL_qb2of3__None__v0,DEBTRATIO_qb2,VOL_qb2,0.1554335184447142,0.12359362318589961,0.03183989525881459,-0.6909491504969572,0.4738939816660024,157.8530612244898,True,
PB_qb0of3__REV_G_qb1of3__None__v0,PB_qb0,REV_G_qb1,0.15528846684309894,0.14168054854063916,0.013607918302459776,-0.5562297062339989,0.5123311802701116,175.72961373390558,True,
MOM_qb2of3__REV_G_qb2of3__None__v0,MOM_qb2,REV_G_qb2,0.15469971443549646,0.11856824252898823,0.03613147190650823,-0.6709943829696197,0.45651754724257615,189.37768240343348,True,
P_IC_qb0of3__EPS_qb2of3__None__v0,P_IC_qb0,EPS_qb2,0.15420619403767954,0.14417985702393699,0.010026337013742559,-0.33334006572928954,0.45031654280209193,88.36293436293437,True,
P_IC_qb0of3__REV_G_qb0of3__None__v0,P_IC_qb0,REV_G_qb0,0.1541730316944776,0.14417985702393699,0.009993174670540617,-0.5894922035247703,0.5264259549973835,188.87124463519314,True,
PB_qb0of3__FCF_P_qb2of3__None__v0,PB_qb0,FCF_P_qb2,0.15385712349250835,0.14168054854063916,0.01217657495186919,-0.5790077032379601,0.5131667038607454,191.16326530612244,True,
NETDEBT_EBITDA_qb0of3__EV_EBITDA_qb0of3__None__v0,NETDEBT_EBITDA_qb0,EV_EBITDA_qb0,0.1535388244104614,0.11331787103451774,0.04022095337594367,-0.5344886074969311,0.518249570036308,186.14285714285714,True,
P_IC_qb0of3__ACCRUAL_qb0of3__None__v0,P_IC_qb0,ACCRUAL_qb0,0.15299410525133617,0.14417985702393699,0.00881424822739918,-0.5147255843417065,0.48729022704837116,165.4326530612245,True,
MOM_qb2of3__DEBTRATIO_qb2of3__None__v0,DEBTRATIO_qb2,MOM_qb2,0.15297367080313573,0.12359362318589961,0.029380047617236116,-0.6722909789249409,0.4540735725569849,167.17551020408163,True,
EV_S_qb0of3__EV_EBITDA_qb0of3__None__v0,EV_S_qb0,EV_EBITDA_qb0,0.15266130167806646,0.13327189080824864,0.019389410869817825,-0.3396751582327021,0.4937388193202147,262.4591439688716,True,
PS_qb0of3__REVENUE_qb1of3__None__v0,PS_qb0,REVENUE_qb1,0.15165851061481095,0.13063337928522634,0.021025131329584612,-0.512916117168825,0.504267668146125,180.74693877551022,True,
PB_qb0of3__ROIC_qb1of3__None__v0,PB_qb0,ROIC_qb1,0.15149284041240496,0.14168054854063916,0.0098122918717658,-0.5108954479548621,0.5068692206076618,199.011583011583,True,
PS_qb0of3__FCF_P_qb0of3__None__v0,PS_qb0,FCF_P_qb0,0.15121176012550275,0.13063337928522634,0.02057838084027641,-0.5172890959775833,0.4651969561324978,175.15102040816328,True,
DEBTRATIO_qb2of3__EV_EBITDA_qb0of3__None__v0,DEBTRATIO_qb2,EV_EBITDA_qb0,0.15082355145176618,0.12359362318589961,0.027229928265866565,-0.4940276253840715,0.4633419431750447,152.99591836734695,True,
MOM_qb2of3__EPS_qb2of3__None__v0,MOM_qb2,EPS_qb2,0.15016968644879758,0.11856824252898823,0.03160144391980935,-0.6469140287381401,0.4949838932351588,163.9311475409836,True,
EV_S_qb0of3__REV_G_qb1of3__None__v0,EV_S_qb0,REV_G_qb1,0.14971643597349704,0.13327189080824864,0.016444545165248403,-0.5618596735254191,0.5032670248293887,178.22317596566523,True,
P_IC_qb0of3__DEBTRATIO_qb1of3__None__v0,P_IC_qb0,DEBTRATIO_qb1,0.1495953942542958,0.14417985702393699,0.005415537230358813,-0.5093400652254969,0.5479197622585439,140.21632653061224,True,
MOM_qb2of3__REV_G_qb1of3__None__v0,MOM_qb2,REV_G_qb1,0.14953114418184543,0.11856824252898823,0.0309629016528572,-0.6556180474631588,0.5014582928251993,165.09442060085837,True,
PB_qb0of3__REV_G_qb0of3__None__v0,PB_qb0,REV_G_qb0,0.14951924973521513,0.14168054854063916,0.00783870119457597,-0.5840311464296762,0.5340741951299232,203.43776824034336,True,
PS_qb0of3__DEBTRATIO_qb2of3__None__v0,PS_qb0,DEBTRATIO_qb2,0.1491212638550079,0.13063337928522634,0.018487884569781565,-0.5494537524654277,0.5223199739328772,270.68979591836734,True,
PB_qb0of3__ACCRUAL_qb0of3__None__v0,PB_qb0,ACCRUAL_qb0,0.14909385436327538,0.14168054854063916,0.007413305822636218,-0.5158778887151344,0.4897811974032219,166.77551020408163,True,
PB_qb0of3__VOL_qb1of3__None__v0,PB_qb0,VOL_qb1,0.1489660793902956,0.14168054854063916,0.007285530849656441,-0.6211601593881118,0.5117915792073096,161.8803088803089,True,
MOM_qb2of3__FCF_P_qb0of3__None__v0,MOM_qb2,FCF_P_qb0,0.14877135846709288,0.11856824252898823,0.030203115938104652,-0.6857887444758698,0.46933357744415966,137.78214285714284,True,
EV_S_qb0of3__ROE_qb2of3__None__v0,EV_S_qb0,ROE_qb2,0.14876542652372948,0.13327189080824864,0.015493535715480844,-0.3799295050233572,0.4646985594878179,150.7992277992278,True,
EV_EBITDA_qb0of3__REV_G_qb1of3__None__v0,REV_G_qb1,EV_EBITDA_qb0,0.1487070287886827,0.10951862084348774,0.03918840794519496,-0.5616128459743066,0.4858451290591174,143.53648068669528,True,
