strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
P_IC_qb0of3__REVENUE_qb0of3__None__v0,P_IC_qb0,REVENUE_qb0,0.24055303039082032,0.18180748761405363,0.05874554277676669,-0.5270445804395121,0.5751445086705202,95.42424242424242,1.0,32.0,True,
P_IC_qb0of3__VOL_qb2of3__None__v0,P_IC_qb0,VOL_qb2,0.22561198135881777,0.18180748761405363,0.04380449374476414,-0.6649515211692147,0.5032842180010652,122.54882154882155,1.0,99.0,True,
PS_qb0of3__REVENUE_qb0of3__None__v0,PS_qb0,REVENUE_qb0,0.2095689024040155,0.16620841805915898,0.04336048434485651,-0.7742426026486395,0.5147857573928787,54.168350168350166,1.0,17.0,True,
P_IC_qb0of3__ROE_qb2of3__None__v0,P_IC_qb0,ROE_qb2,0.20928208051419395,0.18180748761405363,0.027474592900140316,-0.46625993457765913,0.5181623931623932,68.52861952861953,1.0,7.0,True,
PB_qb0of3__ROIC_qb2of3__None__v0,PB_qb0,ROIC_qb2,0.2065902141161089,0.1813653578473695,0.025224856268739382,-0.4591093122432365,0.5103763629968343,47.54014598540146,1.0,6.0,True,
PB_qb0of3__ROE_qb2of3__None__v0,PB_qb0,ROE_qb2,0.20625735013604096,0.1813653578473695,0.02489199228867145,-0.44223308485115387,0.5180316818335019,45.02020202020202,1.0,4.0,True,
P_IC_qb0of3__DEBTRATIO_qb0of3__None__v0,P_IC_qb0,DEBTRATIO_qb0,0.20424156536402682,0.18180748761405363,0.02243407774997319,-0.5663237341577161,0.5981308411214953,50.30639730639731,1.0,25.0,True,
PB_qb0of3__REVENUE_qb0of3__None__v0,PB_qb0,REVENUE_qb0,0.2017136101252761,0.1813653578473695,0.020348252277906598,-0.5509715311917778,0.6118449083936941,122.03367003367003,1.0,44.0,True,
EV_S_qb0of3__REVENUE_qb0of3__None__v0,EV_S_qb0,REVENUE_qb0,0.2016024825109346,0.15765702596425268,0.043945456546681916,-0.4385810619181686,0.5620950323974082,70.48484848484848,1.0,21.0,True,
PB_qb0of3__VOL_qb2of3__None__v0,PB_qb0,VOL_qb2,0.20120138940201193,0.1813653578473695,0.01983603155464242,-0.655379668807939,0.49445407279029463,112.97643097643098,1.0,87.0,True,
PB_qb0of3__PS_qb0of3__None__v0,PB_qb0,PS_qb0,0.19683269190132835,0.1813653578473695,0.015467334053958837,-0.567354790310797,0.6201030927835052,256.0875420875421,1.0,146.0,True,
PB_qb0of3__OCF_E_qb2of3__None__v0,PB_qb0,OCF_E_qb2,0.1959933102234963,0.1813653578473695,0.014627952376126796,-0.5443795783604286,0.5145234272368997,109.73400673400674,1.0,50.0,True,
EV_S_qb0of3__MOM_qb2of3__None__v0,EV_S_qb0,MOM_qb2,0.19563407710056202,0.15765702596425268,0.03797705113630934,-0.63095322319809,0.4880317860257777,156.3838383838384,1.0,92.80000000000001,True,
PB_qb0of3__EV_EBITDA_qb0of3__None__v0,PB_qb0,EV_EBITDA_qb0,0.1952473266098218,0.1813653578473695,0.01388196876245229,-0.5529732347749178,0.5405482991244438,207.27272727272728,1.0,113.0,True,
P_IC_qb0of3__EV_EBITDA_qb0of3__None__v0,P_IC_qb0,EV_EBITDA_qb0,0.19372967359465032,0.18180748761405363,0.011922185980596689,-0.5362828975487952,0.5203354961228043,197.8080808080808,1.0,112.0,True,
PB_qb0of3__EV_S_qb0of3__None__v0,PB_qb0,EV_S_qb0,0.19275879846190347,0.1813653578473695,0.011393440614533956,-0.5475926237311515,0.616516762060507,241.83838383838383,1.0,104.0,True,
PS_qb0of3__EV_EBITDA_qb0of3__None__v0,PS_qb0,EV_EBITDA_qb0,0.19253203521120743,0.16620841805915898,0.02632361715204845,-0.507684530223653,0.5058874210224009,183.84848484848484,1.0,98.0,True,
EV_EBITDA_qb0of3__EPS_qb1of3__None__v0,EV_EBITDA_qb0,EPS_qb1,0.19110112469890317,0.15064716102265807,0.0404539636762451,-0.5069566918658055,0.5346797225622195,113.26936026936026,1.0,75.6,True,
P_IC_qb0of3__PS_qb0of3__None__v0,P_IC_qb0,PS_qb0,0.19078211269583956,0.18180748761405363,0.008974625081785925,-0.5654281648614601,0.6136541982736071,293.74747474747477,1.0,161.0,True,
PB_qb0of3__FCF_OI_qb1of3__None__v0,PB_qb0,FCF_OI_qb1,0.19021651029963826,0.1813653578473695,0.008851152452268751,-0.5676334513739203,0.5063129702844025,148.86868686868686,1.0,78.0,True,
