F1,k1,CAGR,max_drawdown,win_ratio,平均持股數,角色池,贏大盤,可當primary,可當secondary
PB,0,0.18050911811184078,-0.5768944034944556,0.6852870024191775,463.010101010101,primary,0.09625344637442579,True,True
P_IC,0,0.17867438611691733,-0.5713605770152994,0.6812738853503185,463.010101010101,primary,0.09441871437950233,True,True
PS,0,0.16434511041889355,-0.5642914796284875,0.5782059250051792,462.6363636363636,primary,0.08008943868147855,True,True
EV_S,0,0.15703616256886455,-0.5633380633376319,0.5774938169826875,460.2154882154882,primary,0.07278049083144955,True,True
EV_EBITDA,0,0.1454246752563002,-0.5737599470290273,0.4961524631427544,460.35690235690237,primary,0.06116900351888521,True,True
FCF_P,2,0.12214294842787288,-0.6039548182246113,0.48128727534723614,461.71380471380473,primary,0.03788727669045788,True,True
EV_EBITDA,1,0.12168343275173998,-0.5927523439544337,0.4938528241373166,460.53198653198655,primary,0.03742776101432499,True,True
MOM,2,0.11517070621059111,-0.6749403295248526,0.45558719111392315,434.9220779220779,primary,0.030915034473176117,True,True
NETDEBT_EBITDA,2,0.11310247772162718,-0.5911590731404849,0.5123944429310815,497.3063973063973,primary,0.028846805984212187,True,True
EV_S,1,0.11261458954493708,-0.6197572707318895,0.49552303996505787,460.3164983164983,primary,0.028358917807522088,True,True
DEBTRATIO,2,0.11247402988012434,-0.5516048181699857,0.47395969641455116,511.2121212121212,primary,0.028218358142709343,True,True
CROIC,1,0.11121023581312683,-0.5857461891191391,0.46844112382286557,504.55555555555554,primary,0.02695456407571184,True,True
FCF_OI,1,0.10865218632260909,-0.5769241756455349,0.4599313472051532,503.7037037037037,primary,0.024396514585194096,True,True
ROE,2,0.10857200626884822,-0.5019894063231526,0.45853022649503017,511.2121212121212,primary,0.024316334531433226,True,True
EPS,1,0.10852722125183023,-0.5723110608708536,0.47015100081938427,510.5218855218855,primary,0.024271549514415236,True,True
P_IC,1,0.10774864588230604,-0.6080612411796525,0.5072519083969466,463.32996632996634,primary,0.023492974144891043,True,True
OCF_E,2,0.10702478116805669,-0.5440668183379249,0.46336822074215034,506.67003367003366,primary,0.0227691094306417,True,True
REVENUE,2,0.10623240870423478,-0.586378836823275,0.41227688289072706,511.2020202020202,primary,0.021976736966819788,True,True
PB,1,0.1059915100055453,-0.6074961040678843,0.49581426498493136,463.32996632996634,primary,0.021735838268130303,True,True
PS,1,0.10454523190678677,-0.6206788468838067,0.48617614269788184,463.020202020202,primary,0.02028956016937178,True,True
ROIC,1,0.10406428335490814,-0.5892529064919716,0.47380688124306325,510.962962962963,primary,0.019808611617493144,False,True
ROIC,2,0.10397473546755487,-0.5166544014417263,0.45253082693800123,511.2121212121212,primary,0.019719063730139874,False,True
REVENUE,1,0.10355103883824879,-0.603906466815737,0.44683614770829466,510.92255892255895,primary,0.019295367100833793,False,True
ACCRUAL,0,0.10295064384810049,-0.5645716334331609,0.4549106630447259,506.04713804713805,primary,0.018694972110685493,False,True
OCF_E,1,0.10264960548279434,-0.5955875062788014,0.4713818999533285,506.5286195286195,primary,0.018393933745379343,False,True
NETDEBT_EBITDA,0,0.10191858129845444,-0.5980140767427619,0.5086538461538461,496.64646464646466,primary,0.01766290956103944,False,True
ACCRUAL,1,0.0995978627277172,-0.6019817867682289,0.4675277202388205,506.5286195286195,primary,0.015342190990302207,False,True
REVENUE,0,0.09940899160161942,-0.5282183218262196,0.47402031930333816,510.5117845117845,primary,0.015153319864204429,False,True
ROE,1,0.09882153968939233,-0.599198721987741,0.47485786830049126,510.962962962963,primary,0.01456586795197734,False,True
REV_G,1,0.09857976634660703,-0.577497311377265,0.4849141265666099,504.2561403508772,primary,0.01432409460919204,False,True
DEBTRATIO,0,0.09848286393340122,-0.5831868168852925,0.47644842204427695,510.62626262626264,primary,0.014227192195986227,False,True
DEBTRATIO,1,0.09837677595635941,-0.5871576998778485,0.46098736485606356,511.0,primary,0.014121104218944414,False,True
FCF_P,0,0.09770718114206667,-0.5990031313431938,0.4592586544741999,461.06734006734007,primary,0.013451509404651674,False,True
EPS,2,0.09725179962145947,-0.5301858188177175,0.44038668098818473,511.2693602693603,primary,0.012996127884044473,False,True
NETDEBT_EBITDA,1,0.09722388450795871,-0.5662582351609935,0.4515564882826163,497.050505050505,primary,0.012968212770543719,False,True
REV_G,2,0.0962830157254344,-0.5607556893594174,0.4487776484284051,504.59298245614036,primary,0.012027343988019412,False,True
VOL,0,0.0949800373936236,-0.5596445811658824,0.5449674976784056,430.27272727272725,primary,0.010724365656208601,False,True
FCF_OI,2,0.09473569362115297,-0.6179713933284234,0.4586268287019119,504.013468013468,primary,0.010480021883737978,False,True
FCF_P,1,0.09359808516991808,-0.6365261063710153,0.47255065711397304,461.3636363636364,primary,0.009342413432503083,False,True
CROIC,2,0.09228854951105703,-0.6136318570498687,0.4555427466438585,504.92929292929296,primary,0.008032877773642033,False,True
EPS,0,0.09004664935922246,-0.6224003976525349,0.4679614873837981,510.8888888888889,primary,0.005790977621807469,False,True
VOL,1,0.0883512993042721,-0.6374546864092943,0.49116787393569705,430.6818181818182,primary,0.004095627566857107,False,True
ROE,0,0.08732531967539514,-0.6198228323231787,0.46315701232291057,510.54882154882154,primary,0.0030696479379801467,False,True
ROIC,0,0.08706842503613221,-0.6171582068162924,0.46603158686387564,510.54882154882154,primary,0.002812753298717219,False,True
REV_G,0,0.08673756785995845,-0.6245458637728298,0.4729846481026118,503.8491228070175,primary,0.002481896122543459,False,True
FCF_OI,0,0.08312706273856696,-0.5612950214069168,0.43836425954378916,503.38047138047136,primary,-0.0011286089988480352,False,True
MOM,1,0.0822698768002279,-0.6160701263419261,0.5037310729551546,434.64935064935065,primary,-0.001985794937187091,False,True
ACCRUAL,2,0.08127798121386864,-0.592076669422715,0.44896307146711895,506.67003367003366,primary,-0.0029776905235463502,False,True
VOL,2,0.08094398626246369,-0.7245179193073887,0.44396636025816544,430.94805194805195,primary,-0.003311685474951309,False,True
CROIC,0,0.08080679785754974,-0.5577033350193867,0.43898524057471716,504.2760942760943,primary,-0.003448873879865255,False,True
OCF_E,0,0.07742260387931688,-0.616290108930619,0.447358052795167,506.04713804713805,primary,-0.0068330678580981186,False,True
EV_S,2,0.07195128753258007,-0.6444175953697797,0.41090614230691264,460.6835016835017,primary,-0.012304384204834928,False,False
PS,2,0.07138659839365413,-0.6406961522363055,0.4257566524476945,463.17845117845116,primary,-0.012869073343760862,False,False
EV_EBITDA,2,0.06032491893005121,-0.6662551122298075,0.4525815647766867,460.8552188552189,primary,-0.023930752807363787,False,False
P_IC,2,0.052698464917466215,-0.6481778966606203,0.36890676762896357,463.5993265993266,primary,-0.03155720681994878,False,False
